experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,4,454700,1293771107222800,0,22014800,
0,3,554100,1293771107919900,0,22696200,
0,1,785200,1293771108461800,0,23317900,
0,2,801200,1293771109009000,0,23721300,
0,1,785200,1293771109372800,1,905900,
0,4,454700,1293771109742100,1,1463600,
0,3,554100,1293771110332600,1,2053300,
0,4,454700,1293771110872000,2,1127800,
0,1,785200,1293771111328300,2,1953200,
0,2,801200,1293771111756500,1,2742200,
0,1,785200,1293771112116200,3,785200,
0,4,454700,1293771112622900,3,1744200,
0,3,554100,1293771113118800,2,2783500,
0,4,454700,1293771113577900,4,952700,
0,1,785200,1293771113900500,4,1782300,
0,2,801200,1293771114386400,2,2626400,
0,1,785200,1293771114817200,5,914000,
0,4,454700,1293771115342400,5,1762300,
0,3,554100,1293771115755400,3,2633200,
0,4,454700,1293771116186900,6,842200,
0,1,785200,1293771116558900,6,1739000,
0,2,801200,1293771117044100,3,2654900,
0,1,785200,1293771117505100,7,944000,
0,4,454700,1293771117910400,7,1721100,
0,3,554100,1293771118352500,4,2594700,
0,4,454700,1293771118803700,8,890400,
0,1,785200,1293771119225900,8,1717300,
0,2,801200,1293771119676800,4,2629600,
0,1,785200,1293771120025900,9,797800,
0,4,454700,1293771120352800,9,1545900,
0,3,554100,1293771120812400,5,2456800,
0,4,454700,1293771121174800,10,819800,
0,1,785200,1293771121631200,10,1603100,
0,2,801200,1293771121989500,5,2309400,
0,1,785200,1293771122462100,11,821400,
0,4,454700,1293771122848400,11,1632200,
0,3,554100,1293771123184200,6,2369600,
0,4,454700,1293771123655700,12,804800,
0,1,785200,1293771124101200,12,1636500,
0,2,801200,1293771124509200,6,2517100,
0,1,785200,1293771124869800,13,766100,
0,1,785200,1293771125214500,14,342700,
0,4,454700,1293771125624900,13,1966500,
0,3,554100,1293771125903700,7,2717400,
0,3,554100,1293771126310800,8,405500,
0,4,454700,1293771126694100,14,1066600,
0,2,801200,1293771127086800,7,2575400,
0,3,554100,1293771127399500,9,1086500,
0,2,801200,1293771127729700,8,640600,
0,3,554100,1293771128137000,10,735300,
0,2,801200,1293771128528700,9,796700,
0,3,554100,1293771128885500,11,736900,
0,2,801200,1293771129316300,10,784700,
0,3,554100,1293771129616700,12,715000,
0,2,801200,1293771130053900,11,730700,
0,3,554100,1293771130349700,13,693900,
0,2,801200,1293771130637900,12,581400,
0,3,554100,1293771130927600,14,575500,
0,2,801200,1293771131245100,13,604800,
0,2,801200,1293771131529100,14,282000,
0,1,785200,,,TOTAL,,40072800
0,2,801200,,,TOTAL,,46243400
0,3,554100,,,TOTAL,,45706800
0,4,454700,,,TOTAL,,41488800
1,3,809100,1293771291004300,0,22745400,
1,1,934200,1293771291658800,0,23447600,
1,2,568100,1293771292947900,0,24735600,
1,2,568100,1293771293473000,1,520400,
1,4,909000,1293771293987000,0,25707200,
1,2,568100,1293771294542900,2,1066700,
1,1,934200,1293771295096300,1,1918600,
1,1,934200,1293771295597400,2,496700,
1,1,934200,1293771296075400,3,474700,
1,1,934200,1293771296566000,4,486200,
1,3,809100,1293771296934200,1,4145800,
1,1,934200,1293771297373900,5,804100,
1,2,568100,1293771297700500,3,3153900,
1,4,909000,1293771298100600,1,4106500,
1,2,568100,1293771298508800,4,804600,
1,1,934200,1293771298842100,6,1463700,
1,3,809100,1293771299238100,2,2300600,
1,1,934200,1293771299639800,7,795200,
1,2,568100,1293771300162100,5,1650500,
1,4,909000,1293771300463700,2,2359800,
1,2,568100,1293771300905900,6,740300,
1,1,934200,1293771301230700,8,1588000,
1,3,809100,1293771301619300,3,2378000,
1,1,934200,1293771302074000,9,840300,
1,2,568100,1293771302539800,7,1630500,
1,2,568100,1293771302980300,8,435600,
1,2,568100,1293771303487100,9,501600,
1,4,909000,1293771303937700,3,3470700,
1,2,568100,1293771304529100,10,1036100,
1,1,934200,1293771305039500,10,2962000,
1,3,809100,1293771305576800,4,3954600,
1,1,934200,1293771306098900,11,1046300,
1,2,568100,1293771306655500,11,2097800,
1,2,568100,1293771307294500,12,631900,
1,4,909000,1293771307785100,4,3843200,
1,2,568100,1293771308355300,13,1056400,
1,2,568100,1293771308911700,14,552400,
1,1,934200,1293771309542700,12,3437800,
1,1,934200,1293771310000200,13,453300,
1,3,809100,1293771310509000,5,4926700,
1,1,934200,1293771310903700,14,900500,
1,4,909000,1293771311313000,5,3374900,
1,3,809100,1293771311847500,6,1335800,
1,4,909000,1293771312176300,6,860800,
1,3,809100,1293771312478300,7,628100,
1,4,909000,1293771312984800,7,805800,
1,3,809100,1293771313335800,8,837300,
1,4,909000,1293771313678500,8,690800,
1,3,809100,1293771314153900,9,816000,
1,4,909000,1293771314614500,9,915300,
1,3,809100,1293771315075600,10,918800,
1,4,909000,1293771315429100,10,811600,
1,3,809100,1293771315845200,11,756300,
1,4,909000,1293771316286000,11,845000,
1,3,809100,1293771316784300,12,936300,
1,4,909000,1293771317111100,12,771100,
1,3,809100,1293771317589200,13,802300,
1,4,909000,1293771317938100,13,824600,
1,3,809100,1293771318406300,14,814400,
1,4,909000,1293771318854900,14,913900,
1,1,934200,,,TOTAL,,42695000
1,2,568100,,,TOTAL,,40704700
1,3,809100,,,TOTAL,,50150600
1,4,909000,,,TOTAL,,50579100
2,3,663700,1293771473968300,0,21220200,
2,1,878400,1293771474615100,0,21954900,
2,2,864200,1293771475204900,0,22442300,
2,1,878400,1293771475846900,1,665400,
2,4,426000,1293771476465300,0,23760500,
2,1,878400,1293771477043100,2,1191900,
2,3,663700,1293771477600200,1,2361800,
2,2,864200,1293771478077500,1,2867300,
2,3,663700,1293771478543800,2,939200,
2,1,878400,1293771478951000,3,1903600,
2,4,426000,1293771479282600,1,2797000,
2,1,878400,1293771479559800,4,605600,
2,3,663700,1293771479828000,3,1280300,
2,2,864200,1293771480113200,2,2030900,
2,3,663700,1293771480519500,4,689000,
2,1,878400,1293771480941300,5,1378500,
2,4,426000,1293771481344600,2,2059200,
2,1,878400,1293771481752600,6,808300,
2,3,663700,1293771482145600,5,1623500,
2,2,864200,1293771482665300,3,2549400,
2,3,663700,1293771483021200,6,872500,
2,3,663700,1293771483400600,7,376000,
2,1,878400,1293771483828700,7,2073100,
2,4,426000,1293771484330000,3,2981800,
2,1,878400,1293771484766300,8,934500,
2,3,663700,1293771485149800,8,1746600,
2,2,864200,1293771485555100,4,2886300,
2,3,663700,1293771485965100,9,811700,
2,1,878400,1293771486422500,9,1652900,
2,4,426000,1293771486891800,4,2558800,
2,1,878400,1293771487316100,10,889700,
2,3,663700,1293771487739900,10,1771700,
2,2,864200,1293771488135700,5,2577700,
