experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,4,483900,1291239699793700,0,20960300,
0,2,591100,1291239700501400,0,21647800,
0,1,576100,1291239701140700,0,22308300,
0,3,521400,1291239701570500,0,22737700,
0,1,576100,1291239702107600,1,961500,
0,2,591100,1291239702667800,1,1854500,
0,4,483900,1291239703181100,1,2369300,
0,2,591100,1291239703654600,2,984900,
0,1,576100,1291239704176400,2,2066300,
0,3,521400,1291239704496800,1,2920500,
0,1,576100,1291239704969900,3,790500,
0,2,591100,1291239705488200,3,1830500,
0,4,483900,1291239705911500,2,2727400,
0,2,591100,1291239706393300,4,901400,
0,1,576100,1291239706704900,4,1731100,
0,3,521400,1291239707159700,2,2660600,
0,1,576100,1291239707516900,5,809500,
0,1,576100,1291239707900400,6,381700,
0,2,591100,1291239708231200,5,1834500,
0,4,483900,1291239708526700,3,2612200,
0,2,591100,1291239708935400,6,700700,
0,1,576100,1291239709276800,7,1373600,
0,3,521400,1291239709570600,3,2390500,
0,1,576100,1291239709969100,8,689400,
0,2,591100,1291239710310900,7,1372600,
0,4,483900,1291239710686300,4,2157100,
0,2,591100,1291239711012100,8,699100,
0,1,576100,1291239711467100,9,1495400,
0,3,521400,1291239711896700,4,2323800,
0,1,576100,1291239712221700,10,751400,
0,2,591100,1291239712584800,9,1570300,
0,4,483900,1291239712880600,5,2191800,
0,2,591100,1291239713215000,10,627800,
0,1,576100,1291239713510900,11,1273500,
0,3,521400,1291239713812700,5,1913000,
0,1,576100,1291239714212000,12,698700,
0,2,591100,1291239714506700,11,1285500,
0,4,483900,1291239714906500,6,2023900,
0,2,591100,1291239715245700,12,736900,
0,1,576100,1291239715517300,13,1302200,
0,3,521400,1291239715898400,6,2083000,
0,1,576100,1291239716212600,14,693200,
0,2,591100,1291239716520000,13,1271000,
0,4,483900,1291239716957000,7,2047700,
0,2,591100,1291239717268000,14,745300,
0,3,521400,1291239717625000,7,1723900,
0,4,483900,1291239717920300,8,959800,
0,3,521400,1291239718322000,8,693700,
0,4,483900,1291239718697300,9,774700,
0,3,521400,1291239719004500,9,679600,
0,4,483900,1291239719298900,10,599100,
0,3,521400,1291239719585900,10,578700,
0,4,483900,1291239719871200,11,564800,
0,3,521400,1291239720155700,11,564400,
0,4,483900,1291239720457400,12,583900,
0,3,521400,1291239720715000,12,519800,
0,4,483900,1291239720997700,13,537500,
0,3,521400,1291239721282500,13,565200,
0,4,483900,1291239721560000,14,559900,
0,3,521400,1291239721991200,14,706100,
0,1,576100,,,TOTAL,,37383300
0,2,591100,,,TOTAL,,38417600
0,3,521400,,,TOTAL,,43161400
0,4,483900,,,TOTAL,,42729200
1,4,613600,1291239908972900,0,25626900,
1,2,817100,1291239909652800,0,26198400,
1,3,745600,1291239910303300,0,26866300,
1,1,782400,1291239910770400,0,27426500,
1,3,745600,1291239911176900,1,868500,
1,4,613600,1291239911679200,1,1654200,
1,2,817100,1291239912270600,1,2245400,
1,4,613600,1291239912784300,2,1102700,
1,4,613600,1291239913452400,3,664800,
1,4,613600,1291239913851800,4,396800,
1,3,745600,1291239914210300,2,3029900,
1,1,782400,1291239914749600,1,3974400,
1,3,745600,1291239915087200,3,874400,
1,4,613600,1291239915558300,5,1704400,
1,2,817100,1291239916111700,2,3838400,
1,4,613600,1291239916403200,6,842000,
1,3,745600,1291239916791100,4,1701900,
1,3,745600,1291239917159500,5,366100,
1,3,745600,1291239917521400,6,359700,
1,3,745600,1291239917912000,7,388600,
1,1,782400,1291239918282600,2,3529800,
1,3,745600,1291239918821200,8,906800,
1,4,613600,1291239919154200,7,2748800,
1,2,817100,1291239919638500,3,3522900,
1,2,817100,1291239920057200,4,416300,
1,4,613600,1291239920655700,8,1499300,
1,3,745600,1291239921094600,9,2270500,
1,1,782400,1291239921480000,3,3194600,
1,3,745600,1291239921948400,10,850600,
1,4,613600,1291239922309900,9,1651400,
1,2,817100,1291239922665100,5,2578400,
1,4,613600,1291239922926600,10,614000,
1,3,745600,1291239923375300,11,1409700,
1,1,782400,1291239923738800,4,2255700,
1,1,782400,1291239924123400,5,382800,
1,3,745600,1291239924421500,12,1043700,
1,4,613600,1291239924708300,11,1775600,
1,2,817100,1291239925171600,6,2504100,
1,4,613600,1291239925548100,12,837200,
1,3,745600,1291239925975900,13,1548300,
1,1,782400,1291239926361800,6,2235600,
1,3,745600,1291239926689900,14,712400,
1,4,613600,1291239927036800,13,1486200,
1,2,817100,1291239927426700,7,2251400,
1,4,613600,1291239927810700,14,771100,
1,1,782400,1291239928098900,7,1734500,
1,1,782400,1291239928444000,8,342600,
1,2,817100,1291239928829100,8,1398900,
1,1,782400,1291239929215400,9,768900,
1,2,817100,1291239929513600,9,682100,
1,1,782400,1291239929892000,10,674400,
1,2,817100,1291239930210800,10,694400,
1,1,782400,1291239930536500,11,633800,
1,2,817100,1291239930817800,11,599100,
1,1,782400,1291239931198900,12,660100,
1,2,817100,1291239931471200,12,626300,
1,1,782400,1291239931874300,13,673000,
1,2,817100,1291239932303800,13,830200,
1,1,782400,1291239932678700,14,801300,
1,2,817100,1291239933034600,14,728100,
1,1,782400,,,TOTAL,,49338000
1,2,817100,,,TOTAL,,49583200
1,3,745600,,,TOTAL,,43256400
1,4,613600,,,TOTAL,,44467200
2,3,740800,1291240089147800,0,20714800,
2,1,798600,1291240089957200,0,21617500,
2,4,816500,1291240090481600,0,22033500,
2,2,611900,1291240091130300,0,22789200,
2,4,816500,1291240091640000,1,1153200,
2,4,816500,1291240092329100,2,684700,
2,3,740800,1291240092817600,1,2530700,
2,1,798600,1291240093300500,1,3013400,
2,1,798600,1291240093787500,2,484100,
2,3,740800,1291240094225400,2,1404300,
2,4,816500,1291240094529200,3,2196900,
2,2,611900,1291240095041000,1,3901600,
2,4,816500,1291240095504000,4,972100,
2,3,740800,1291240096098600,3,1870200,
2,1,798600,1291240096484300,3,2693700,
2,3,740800,1291240096847600,4,745500,
2,4,816500,1291240097142100,5,1634500,
2,2,611900,1291240097637900,2,2593500,
2,4,816500,1291240097969000,6,824500,
2,4,816500,1291240098431100,7,459100,
2,3,740800,1291240098865600,5,2015400,
2,1,798600,1291240099287200,4,2800200,
2,3,740800,1291240099717700,6,848600,
2,4,816500,1291240100041300,8,1607400,
2,2,611900,1291240100473200,3,2832400,
2,4,816500,1291240100859200,9,815400,
2,3,740800,1291240101253700,7,1532100,
2,1,798600,1291240101791300,5,2500400,
2,3,740800,1291240102250400,8,993400,
2,4,816500,1291240102765000,10,1903100,
2,2,611900,1291240103235000,4,2758900,
2,4,816500,1291240103616200,11,828500,
2,4,816500,1291240104033800,12,414400,
2,3,740800,1291240104592800,9,2332400,
2,1,798600,1291240105138100,6,3342200,
2,3,740800,1291240105708100,10,1111100,
2,3,740800,1291240106291100,11,564500,
2,3,740800,1291240106858800,12,561800,
2,4,816500,1291240107371100,13,3332900,
2,4,816500,1291240107777500,14,402600,
2,2,611900,1291240108307900,5,5069100,
2,2,611900,1291240108826500,6,513400,
2,3,740800,1291240109437000,13,2573200,
2,1,798600,1291240110004500,7,4860600,
2,3,740800,1291240110653500,14,1211800,
2,2,611900,1291240111041200,7,2209100,
2,1,798600,1291240111429100,8,1417600,
2,1,798600,1291240111791000,9,359600,
2,1,798600,1291240112227000,10,434000,
2,1,798600,1291240112619600,11,384000,
2,2,611900,1291240112985800,8,1942900,
2,1,798600,1291240113355700,12,734000,
2,2,611900,1291240113825200,9,836200,
2,2,611900,1291240114391900,10,564500,
2,1,798600,1291240114746600,13,1388700,
2,2,611900,1291240115290000,11,859400,
2,1,798600,1291240115805400,14,1055900,
2,2,611900,1291240116311000,12,1018500,
2,2,611900,1291240116708100,13,395000,
2,2,611900,1291240117191900,14,481100,
2,1,798600,,,TOTAL,,47469100
2,2,611900,,,TOTAL,,48853400
2,3,740800,,,TOTAL,,42223700
2,4,816500,,,TOTAL,,39333300
3,3,666400,1291240273152900,0,20806100,
3,2,842700,1291240273613200,0,21258200,
3,4,402200,1291240274239200,0,21954600,
3,1,861400,1291240274684400,0,22400300,
3,4,402200,1291240275031200,1,787200,
3,2,842700,1291240275396300,1,1183500,
3,3,666400,1291240275878400,1,1759300,
3,2,842700,1291240276365300,2,966000,
3,4,402200,1291240276858500,2,1825000,
3,1,861400,1291240277416300,1,2726800,
3,1,861400,1291240277942700,2,521600,
3,4,402200,1291240278466600,3,1603300,
3,2,842700,1291240279030900,3,2661600,
3,3,666400,1291240279519500,2,3638400,
3,3,666400,1291240279978900,3,455200,
3,3,666400,1291240280349500,4,367000,
3,2,842700,1291240280851900,4,1815900,
3,4,402200,1291240281260500,4,2789100,
3,1,861400,1291240281642900,3,3695000,
3,4,402200,1291240282092300,5,828900,
3,2,842700,1291240282484900,5,1629900,
3,3,666400,1291240282940400,5,2588000,
3,2,842700,1291240283264900,6,777000,
3,4,402200,1291240283704700,6,1608900,
3,1,861400,1291240284009500,4,2363500,
3,4,402200,1291240284404900,7,697100,
3,2,842700,1291240284850700,7,1583300,
